Company,Company Description,Market Cap,Stock Price,PE Ratio,EPS,Market Cap Real
74) American Express (AXP),"American Express Company, incorporated on June 10, 1965, together with its subsidiaries, is a global services company. The Companys principal products and services are charge and credit card products, and ...See Company Profile ...Dividend History ...List of ETFs holding AXP",$81.81,$101.61,15.1,4.86,"$81,810,000,000"
75) Intuitive Surgical (ISRG),"Intuitive Surgical, Inc. (Intuitive), incorporated on November 9, 1995, designs, manufactures and markets da Vinci Surgical Systems, and related instruments and accessories. The Companys da Vinci Surgical System consists of ...See Company Profile ...Dividend History ...List of ETFs holding ISRG",$81.48,$696.28,52.79,9.5,"$81,480,000,000"
76) Mondelez (MDLZ),"Mondelez International, Inc., incorporated on January 10, 2005, is a snack company. The Company manufactures and markets snack food and beverage products for consumers. The Company operates through four segments: ...See Company Profile ...Dividend History ...List of ETFs holding MDLZ",$81.22,$56.86,20.31,2.33,"$81,220,000,000"
77) Caterpillar (CAT),"Caterpillar Inc. (Caterpillar), incorporated on March 12, 1986, is a manufacturer of construction and mining equipment, diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives. The Company operates ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding CAT",$81.19,$149.94,20.65,7.49,"$81,190,000,000"
78) Target (TGT),"Target Corporation (Target), incorporated on February 11, 1902, is a general merchandise retailer selling products through its stores and digital channels. The Companys general merchandise stores offer an edited food ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding TGT",$79.65,$159.10,20.72,6.92,"$79,650,000,000"
79) Estee Lauder Companies (EL),"The Estee Lauder Companies Inc., incorporated on December 9, 1976, manufactures and markets skin care, makeup, fragrance and hair care products. The Company offers products, including skin care, makeup, fragrance, ...See Company Profile ...Dividend History ...List of ETFs holding EL",$79.02,$218.76,35.98,1.86,"$79,020,000,000"
80) Stryker (SYK),"Stryker Corporation (Stryker), incorporated on February 20, 1946, is a medical technology company. The Company offers a range of medical technologies, including orthopedic, medical and surgical, and neurotechnology and spine ...See Company Profile ...Dividend History ...List of ETFs holding SYK",$78.24,$208.30,23.4,4.21,"$78,240,000,000"
81) Gilead Sciences (GILD),"Gilead Sciences, Inc., incorporated on June 22, 1987, is a research-based biopharmaceutical company that discovers, develops and commercializes medicines in areas of unmet medical need. The Companys portfolio of products ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding GILD",$77.94,$62.17,8.93,-0.2,"$77,940,000,000"
82) Zoetis (ZTS),"Zoetis Inc., incorporated on July 25, 2012, is engaged in the discovery, development, manufacture and commercialization of animal health medicines and vaccines, with a focus on both livestock and companion ...See Company Profile ...Dividend History ...List of ETFs holding ZTS",$77.71,$163.55,39.31,3.37,"$77,710,000,000"
83) Prologis (PLD),"Prologis, Inc., incorporated on November 24, 1997, is a real estate investment trust (REIT) company. The Company is engaged in logistics real estate business. The Companys segments include Real Estate ...See Company Profile ...Dividend History ...List of ETFs holding PLD",$76.99,$104.22,87.58,2.54,"$76,990,000,000"
84) CVS Health (CVS),"CVS Health Corporation, incorporated on August 22, 1996, together with its subsidiaries, is an integrated pharmacy healthcare company. The Company provides pharmacy care for the senior community through Omnicare, Inc. ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding CVS",$75.68,$57.83,7.68,6.29,"$75,680,000,000"
